Anchor	Reco
2940109765	2457273081
2940109765	2351468783
2941305929	403830906
2947467021	717641130
2947467021	44856981
2947467021	152311203
2947467021	1754075058
2947467021	872893
3012063452	3390741996
3012063452	1096822309
3020763237	2756308743
3026762724	3285483773
3095830538	422533695
3105176636	3268804473
3105176636	2040398821
3275585799	1384987302
3275585799	1158975093
3275585799	2268303873
3275585799	793825704
3275585799	2765914224
3320278802	1526693612
3320278802	1319917806
3320278802	107873604
3320278802	38561722
3328619698	115950323
3439939603	931670748
3742110893	1101649590
3742110893	1783273629
3742110893	1339239727
3759397306	1147908361
3759397306	45025272
3759397306	3279199819
3759397306	3318199199
3759397306	1480196366
3782439034	117633165
3816997451	1649215583
3816997451	2736814205
3816997451	2921820018
3816997451	1058335060
3880084114	534268021
3880084114	768542469
5017159604	3656227247
5017319555	34022345
5017319555	5067445912
5017319555	3422960696
5017319555	55193871
5017319555	3278749110
5017319555	2580760991
5017319555	523051336
5017319555	2510117922
5017319555	1098198240
5017319555	1512420186
5017319555	5067445912
5017319555	654354127
5017319555	5077256537
5017319555	5077256537
5116478924	893295471
#	15420406
#	997230170
#	1099461055
#	3657411303
#	1810638080
#	698488456
#	1169680212
#	1316084669
#	226794940
#	1810638080
#	2256053989
#	1316084669
